"id","country_id","name","name_en","acase_code","del","ResortFeeRu","ResortFeeEn"
"114","19","Арканзас","Arkansas","0","0",NULL,NULL
"115","19","Калифорния","California","0","0",NULL,NULL
"116","19","Колорадо","Colorado","0","0",NULL,NULL
"117","19","Коннектикут","Connecticut","0","0",NULL,NULL
"118","19","Делавер","Delaware","0","0",NULL,NULL
"119","19","Флорида","Florida","0","0",NULL,NULL
"120","19","Джорджия","Georgia","0","0",NULL,NULL
"121","19","Гавайи","Hawaii","0","0",NULL,NULL
"122","19","Айдахо","Idaho","0","0",NULL,NULL
"123","19","Иллинойс","Illinois","0","0",NULL,NULL
"124","19","Индиана","Indiana","0","0",NULL,NULL
"125","19","Айова","Iowa","0","0",NULL,NULL
"126","19","Канзас","Kansas","0","0",NULL,NULL
"127","19","Кентукки","Kentucky","0","0",NULL,NULL
"128","19","Луизиана","Louisiana","0","0",NULL,NULL
"129","19","Мэн","Maine","0","0",NULL,NULL
"130","19","Мэриленд","Maryland","0","0",NULL,NULL
"131","19","Массачусетс","Massachusetts","0","0",NULL,NULL
"132","19","Мичиган","Michigan","0","0",NULL,NULL
"133","19","Миннесота","Minnesota","0","0",NULL,NULL
"134","19","Миссисипи","Mississippi","0","0",NULL,NULL
"135","19","Миссури","Missouri","0","0",NULL,NULL
"136","19","Монтана","Montana","0","0",NULL,NULL
"137","19","Небраска","Nebraska","0","0",NULL,NULL
"138","19","Невада","Nevada","0","0",NULL,NULL
"139","19","Нью-Хэмпшир","New Hampshire","0","0",NULL,NULL
"140","19","Нью-Джерси","New Jersey","0","0",NULL,NULL
"141","19","Нью-Мексико","New Mexico","0","0",NULL,NULL
"142","19","Нью-Йорк","New York","0","0",NULL,NULL
"143","19","Северная Каролина","North Carolina","0","0",NULL,NULL
"144","19","Северная Дакота","North Dakota","0","0",NULL,NULL
"145","19","Огайо","Ohio","0","0",NULL,NULL
"146","19","Оклахома","Oklahoma","0","0",NULL,NULL
"147","19","Орегон","Oregon","0","0",NULL,NULL
