"id","code","country_iso_alpha2","full_name_ru","full_name_en","latitude","longitude","city_id","pseudo_iata_code","timezone","region_code","main_station","isVisible","del","last_update","priority","osm_type","osm_id"
"4431","2014172","RU","Ост.Пункт 213 Км, Юго-Восточная, Пензенская Область, Россия, 2014172","Ost.Punkt 213 Km","52.7878493","44.6800087","27",,"+03:00","58","0","1","0","2021-03-25 13:18:56","0","N","3547801261"
"4432","2014173","RU","Ост.Пункт 234 Км, Юго-Восточная, Пензенская Область, Россия, 2014173","Ost.Punkt 234 Km","52.9434545","44.8336434","27",,"+03:00","58","0","1","0","2021-03-25 13:18:56","0","N","309429326"
"4433","2014174","RU","Ост.Пункт 254 Км, Юго-Восточная, Пензенская Область, Россия, 2014174","Ost.Punkt 254 Km","53.1026949","44.9258558","27",,"+03:00","58","0","1","0","2021-03-25 13:18:56","0","N","910860043"
"4437","2014178","RU","Свекловичная","Sveklovichnaya","50.7819453","35.6877651","1566",,"+03:00","31","0","1","0","2021-03-25 13:18:53","0","N","3391184193"
"4441","2014182","RU","Лукьяновка, Юго-Восточная, Белгородская Область, Россия, 2014182","Lukyanovka","51.3088427","37.682044","1507",,"+03:00","31","0","1","0","2021-03-25 13:19:00","0","N","1848964645"
"4442","2014183","RU","Николаевка, Юго-Восточная, Белгородская Область, Россия, 2014183","Nikolaevka","51.3101788","37.7010511","427",,"+03:00","31","0","1","0","2021-03-25 13:18:58","0","N","1848964643"
"4443","2014184","RU","Песчанка, Юго-Восточная, Белгородская Область, Россия, 2014184","Peschanka","51.3033648","37.7246282","427",,"+03:00","31","0","1","0","2021-03-25 13:19:00","0","N","1848964641"
"4444","2014185","RU","Ямская","Yamskaya","51.2875822","37.845683","427",,"+03:00","31","0","1","0","2021-03-25 13:19:01","0","N","1831396305"
"4458","2014199","RU","Беково","Bekovo","52.4575241","43.7136209","1273",,"+03:00","58","0","1","0","2021-03-25 13:18:58","0","N","910860528"
"4459","2014200","RU","Новокленский","Novoklenskiy","53.2020739","40.3157277","1306",,"+03:00","68","0","1","0","2021-03-25 13:19:00","0","N","910666998"
"4461","2014203","RU","Ост.Пункт 617 Км, Юго-Восточная, Белгородская Область, Россия, 2014203","Ost.Punkt 617 Km","51.2585605","37.8907154","427",,"+03:00","31","0","1","0","2021-03-25 13:18:57","0","N","1848951890"
"4478","2014220","RU","Нагольное","Nagolnoe","51.2023368","36.5889947","706",,"+03:00","46","0","1","0","2021-03-25 13:19:00","0","N","1424409977"
"4479","2014221","RU","Кривцово","Krivtsovo","51.1843958","36.4646102","1328",,"+03:00","46","0","1","0","2021-03-25 13:18:54","0","N","1521670519"
"4487","2014229","RU","Ост.Пункт 392 Км, Юго-Восточная, Тамбовская Область, Россия, 2014229","Ost.Punkt 392 Km","53.0435959","40.4145665","1371",,"+03:00","68","0","1","0","2021-03-25 13:18:57","0","N","3780937884"
"4502","2014244","RU","Чугун 2","Chugun","52.5793311","39.7021053","43",,"+03:00","48","0","1","0","2021-03-25 13:19:01","0","N","846176953"
"4509","2014251","RU","Свинцовка","Svintsovka","51.2267298","42.2411976","1289",,"+03:00","36","0","1","0","2021-03-25 13:19:00","0","N","309488946"
"4513","2014255","RU","Придонская","Pridonskaya","51.0373104","39.5612457","707",,"+03:00","36","0","1","0","2021-03-25 13:19:24","0","N","902499625"
"4514","2014256","RU","Новая Сотня","Novaya Sotnya","50.8121039","39.0576048","922",,"+03:00","36","0","1","0","2021-03-25 13:19:00","0","N","2617762589"
"4515","2014257","RU","Дивногорская","Divnogorskaya","50.9793497","39.3141736","707",,"+03:00","36","0","1","0","2021-03-25 13:18:58","0","N","472630589"
"4523","2014265","RU","Леоновка","Leonovka","51.109296","40.6076531","1206",,"+03:00","36","0","1","0","2021-03-25 13:18:59","0","N","846169302"
"4528","2014270","RU","Бороздиновка","Borozdinovka","51.1289716","41.3327765","1206",,"+03:00","36","0","1","0","2021-03-25 13:18:58","0","N","846169304"
"4532","2014274","RU","Ост.Пункт 342 Км, Юго-Восточная, Воронежская Область, Россия, 2014274","Ost.Punkt 342 Km","51.0605642","41.6862876","666",,"+03:00","36","0","1","0","2021-03-25 13:18:56","0","N","309489662"
"4534","2014276","RU","Ост.Пункт 380 Км, Юго-Восточная, Воронежская Область, Россия, 2014276","Ost.Punkt 380 Km","51.1922268","42.1765055","1289",,"+03:00","36","0","1","0","2021-03-25 13:18:57","0","N","846169299"
"4538","2014280","RU","Лучек","Luchek","52.604571","38.5063467","439",,"+03:00","48","0","1","0","2021-03-25 13:19:23","0","N","265778043"
"4544","2014286","RU","Ост.Пункт 562 Км, Юго-Восточная, Курская Область, Россия, 2014286","Ost.Punkt 562 Km","51.6368402","38.1341735","427",,"+03:00","46","0","1","0","2021-03-25 13:18:57","0","N","1424026562"
"4545","2014287","RU","Ост.Пункт 571 Км, Юго-Восточная, Курская Область, Россия, 2014287","Ost.Punkt 571 Km","51.5756854","38.0745183","427",,"+03:00","46","0","1","0","2021-03-25 13:18:57","0","N","1424026590"
"4546","2014288","RU","Ост.Пункт 591 Км","Ost.Punkt 591 Km","51.4388277","37.9652392","427",,"+03:00","46","0","1","0","2021-03-25 13:18:57","0","N","1686258375"
"4563","2014306","RU","Мелогорье","Melogore","50.9474661","39.445341","707",,"+03:00","36","0","1","0","2021-03-25 13:19:00","0","N","285927679"
"4565","2014308","RU","Рыбальчино","Riebalchino","50.7982119","39.4705214","707",,"+03:00","36","0","1","0","2021-03-25 13:19:00","0","N","1468409531"
"4574","2014317","RU","Сотницкая","Sotnitskaya","50.2823568","39.6167126","21477",,"+03:00","36","1","1","0","2021-03-25 13:18:53","1","N","285927278"
"4591","2014335","RU","Конарево","Konarevo","51.6709683","36.3494468","101",,"+03:00","46","0","1","0","2021-03-25 13:18:52","0","N","1424410008"
"4592","2014336","RU","Полевая","Polevaya","51.6062091","36.5058625","101",,"+03:00","46","0","1","0","2021-03-25 13:18:53","0","N","1424409974"
"4593","2014337","RU","Шумаково","Shumakovo","51.5012254","36.6556719","1252",,"+03:00","46","0","1","0","2021-03-25 13:18:53","0","N","260380366"
"4594","2014338","RU","Солнцево","Solntsevo","51.4140279","36.7443377","1231",,"+03:00","46","1","1","0","2021-03-25 13:18:53","1","N","335099833"
"4595","2014339","RU","Сараевка","Saraevka","51.3215843","36.7783105","706",,"+03:00","46","0","1","0","2021-03-25 13:18:53","0","N","7982734837"
"4596","2014340","RU","Старый Оскол","Stariey Oskol","51.3131494","37.8553942","427",,"+03:00","31","1","1","0","2021-03-25 13:18:50","1","N","1148746037"
"4597","2014341","RU","Сазановка","Sazanovka","51.3337608","36.939949","706",,"+03:00","46","0","1","0","2021-03-25 13:18:53","0","N","1516835797"
"4598","2014342","RU","Кривецкая","Krivetskaya","51.3440184","37.0715157","706",,"+03:00","46","0","1","0","2021-03-25 13:19:23","0","N","1424409964"
"4600","2014344","RU","Чаплыжное","Chapliezhnoe","51.3082529","37.3090363","436",,"+03:00","31","0","1","0","2021-03-25 13:18:53","0","N","3123751407"
"4602","2014346","RU","Осколец","Oskolets","51.2556653","37.4585755","436",,"+03:00","31","0","1","0","2021-03-25 13:18:52","0","N","2909981207"
"4603","2014347","RU","Губкин","Gubkin","51.2793142","37.5738384","1507",,"+03:00","31","1","1","0","2021-03-25 13:18:50","1","N","797594690"
"4604","2014348","RU","Лебеди","Lebedi","51.3059303","37.6486391","1507",,"+03:00","31","0","1","0","2021-03-25 13:18:52","0","N","1848964652"
"4605","2014349","RU","Ездоцкий","Ezdotskiy","51.301489","37.738421","427",,"+03:00","31","0","1","0","2021-03-25 13:19:23","0","N","1848964648"
"4606","2014350","RU","Новый Оскол","Noviey Oskol","50.760897","37.8701731","1331",,"+03:00","31","1","1","0","2021-03-25 13:18:50","1","N","1358275729"
"4607","2014351","RU","Аношкино","Anoshkino","51.2456162","39.3524485","802",,"+03:00","36","0","1","0","2021-03-25 13:18:58","0","N","810743124"
"4608","2014352","RU","Гумны","Gumnie","51.2945206","37.8264366","427",,"+03:00","31","0","1","0","2021-03-25 13:18:58","0","N","1831396309"
"4609","2014353","RU","Котел","Kotel","51.2262752","37.9062162","427",,"+03:00","31","0","1","0","2021-03-25 13:18:52","0","N","1840279157"
"4610","2014354","RU","Голофеевка","Golofeevka","51.1136989","37.8986096","427",,"+03:00","31","0","1","0","2021-03-25 13:19:22","0","N","2910014156"
"4611","2014355","RU","Окуневка, Юго-Восточная, Белгородская Область, Россия, 2014355","Okunevka","51.0330539","37.8731664","1552",,"+03:00","31","0","1","0","2021-03-25 13:19:24","0","N","2465238308"
"4612","2014356","RU","Чернянка","Chernyanka","50.9382376","37.8147066","1552",,"+03:00","31","1","1","0","2021-03-25 13:18:50","1","N","1840294945"
"4614","2014358","RU","Слоновка","Slonovka","50.6674623","37.7939265","1331",,"+03:00","31","0","1","0","2021-03-25 13:18:55","0","N","820479998"
"4616","2014360","RU","Валуйки","Valuyki","50.1991477","38.1208187","1181",,"+03:00","31","1","1","0","2021-03-25 13:18:50","1","N","304726798"
"4617","2014361","RU","Волоконовка","Volokonovka","50.4912722","37.853298","55801",,"+03:00","31","1","1","0","2021-03-25 13:18:50","1","N","3991184638"
"4618","2014362","RU","Рай","Ray","50.3852174","37.8608709","1181",,"+03:00","31","0","1","0","2021-03-25 13:18:53","0","N","820397699"
"4619","2014363","RU","Принцевка","Printsevka","50.3115023","37.9528796","1181",,"+03:00","31","0","1","0","2021-03-25 13:18:53","0","N","820397741"
"4620","2014364","RU","Солоти","Soloti","50.262837","38.014942","1181",,"+03:00","31","0","1","0","2021-03-25 13:19:00","0","N","820363758"
"4622","2014366","RU","Шалаево","Shalaevo","50.0843567","38.0790655","1181",,"+03:00","31","0","1","0","2021-03-25 13:19:01","0","N","1953385124"
"4623","2014367","RU","Выстрел","Viestrel","50.0096231","38.1914715","1181",,"+03:00","31","0","1","0","2021-03-25 13:18:58","0","N","1953385074"
"4625","2014369","RU","Янушево","Yanushevo","53.2667924","39.2840695","1546",,"+03:00","48","0","1","0","2021-03-25 13:19:01","0","N","2795990274"
"4626","2014370","RU","Белгород","Belgorod","50.5928761","36.6063516","127",,"+03:00","31","1","1","0","2021-03-25 13:18:50","2","N","1200590528"
"4627","2014371","RU","Дон","Don","52.6340912","38.9124344","1415",,"+03:00","48","0","1","0","2021-03-25 13:18:51","0","N","305384534"
"4628","2014372","RU","Патриаршая","Patriarshaya","52.6542246","39.0616731","1415",,"+03:00","48","0","1","0","2021-03-25 13:18:53","0","N","305384292"
"4629","2014373","RU","Чириково","Chirikovo","52.6479437","39.2299126","1415",,"+03:00","48","0","1","0","2021-03-25 13:18:53","0","N","2120588674"
"4630","2014374","RU","Сенцово","Sentsovo","52.627693","39.3716193","21377",,"+03:00","48","0","1","0","2021-03-25 13:18:53","0","N","2120592438"
"4631","2014375","RU","Блочный Завод","Blochniey Zavod","51.020301","39.5066428","707",,"+03:00","36","0","1","0","2021-03-25 13:19:02","0","N","285938384"
"4632","2014376","RU","Чугун 1","Chugun","52.6328641","39.6658005","43",,"+03:00","48","0","1","0","2021-03-25 13:19:25","0","N","1855765282"
"4633","2014377","RU","Казинка","Kazinka","52.5503399","39.7366984","43",,"+03:00","48","0","1","0","2021-03-25 13:18:45","0","N","305383144"
"4634","2014378","RU","Улусарка","Ulusarka","52.5436162","38.6823522","439",,"+03:00","48","0","1","0","2021-03-25 13:18:45","0","N","1408829145"
"4635","2014379","RU","Ржава","Rzhava","51.2333919","36.697607","706",,"+03:00","46","0","1","0","2021-03-25 13:19:24","0","N","4016637100"
"4636","2014380","RU","Раненбург","Ranenburg","53.2519184","39.9587375","1557",,"+03:00","48","1","1","0","2021-03-25 13:18:53","1","N","4072002006"
"4637","2014381","RU","Ельниково","Elnikovo","51.125732","36.759692","706",,"+03:00","31","0","1","0","2021-03-25 13:18:51","0","N","7982734824"
"4638","2014382","RU","Прохоровка","Prohorovka","51.0340091","36.7253926","706",,"+03:00","31","1","1","0","2021-03-25 13:19:24","1","N","3350653985"
"4639","2014383","RU","Беленихино","Belenihino","50.5917885","36.6349123","706",,"+03:00","31","0","1","0","2021-03-25 13:18:51","0","N","4711319674"
"4640","2014384","RU","Сажное","Sazhnoe","50.8320927","36.6316043","1220",,"+03:00","31","0","1","0","2021-03-25 13:18:53","0","N","3350653987"
"4641","2014385","RU","Гостищево","Gostishchevo","50.7767145","36.6575548","1220",,"+03:00","31","0","1","0","2021-03-25 13:18:51","0","N","7982704959"
"4642","2014386","RU","Беломестная","Bіlomіsna","50.677358","36.6296987","127",,"+03:00","31","0","1","0","2021-03-25 13:19:22","0","N","7982704931"
"4644","2014388","RU","Разумное","Razumnoe","50.5177093","36.6799902","1276",,"+03:00","31","1","1","0","2021-03-25 13:18:50","1","N","3781273775"
"4646","2014390","RU","Грязи- Воронежские","Gryazi-Voronezhskie","52.4942555","39.9460772","969",,"+03:00","48","0","1","0","2021-03-25 13:18:51","0","N","6439771790"
"4648","2014392","RU","Суковкино","Sukovkino","51.6733865","38.1285434","427",,"+03:00","46","0","1","0","2021-03-25 13:18:53","0","N","1424026589"
"4649","2014393","RU","Алисово","Alisovo","51.5961472","38.1140015","427",,"+03:00","46","0","1","0","2021-03-25 13:18:58","0","N","1424026564"
"4650","2014394","RU","Горшечное","Gorshechnoe","51.5209826","38.0313092","427",,"+03:00","46","0","1","0","2021-03-25 13:18:51","0","N","1424026594"
"4651","2014395","RU","Роговое","Rogovoe","51.4287299","37.9294223","427",,"+03:00","46","0","1","0","2021-03-25 13:19:00","0","N","1686257173"
"4653","2014397","RU","Спасское","Spasskoe","53.6211666","39.3700231","1712",,"+03:00","62","1","1","0","2021-03-25 13:18:53","1","N","4072002007"
"4654","2014398","RU","Милославское","Miloslavskoe","53.5742156","39.4418594","1241",,"+03:00","62","0","1","0","2021-03-25 13:18:52","0","N","7140063024"
"4655","2014399","RU","Гротовский","Grotovskiy","53.5334857","39.5273321","1241",,"+03:00","62","0","1","0","2021-03-25 13:18:51","0","N","4072001998"
"4656","2014401","RU","Урусово","Urusovo","53.4923351","39.6159267","1391",,"+03:00","48","0","1","0","2021-03-25 13:18:55","0","N","1270909477"
